key_DO_NOT_MODIFY;fr;en;es;ab;cn;ru;am;bg;br;cz;de;et;fa;fi;hb;it;jp;ko;mg;nl;pl;ro;sb;sk;sl;sw;uk
FormatErrorMessage;Erreur de format - merci de vérifier votre saisie;Format error - please double-check what you typed;Error de formato - por favor, compruebe lo que ha escrito;خطأ في التنسيق - يرجى التحقق مرة أخرى مما كتبته;格式错误-请仔细检查您输入的内容;Ошибка формата - пожалуйста, перепроверьте, что вы напечатали;Ձևաչափի սխալ. խնդրում ենք կրկնակի ստուգել, ​​թե ինչ եք մուտքագրել;Грешка във формата- моля проверете отново какво сте въвели.;Erro de formatação - favor verificar os dados de entrada;Chyba formátu – znovu zkontrolujte, co jste zadali;Formatfehler - bitte überprüfen Sie Ihre Eingabe;Vorminguviga - palun kontrollige uuesti, mida sisestasite.;خطای قالب (فرمت) - لطفاً آنچه را که تایپ کردید دوباره بررسی کنید;Muotoiluvirhe - tarkista vielä kerran, mitä kirjoitit.;שגיאת עיצוב - אנא בדוק שוב מה הקלדת;Errore di formato - per favore controlla il tuo input;フォーマットエラー - 入力した内容を再度ご確認ください。;형식 오류 - 입력한 내용을 다시 확인하십시오.;Formázási hiba - kérjük, ellenőrizze még egyszer, hogy mit írt be.;Formaatfout - controleer dubbel wat u getypt heeft;Błąd formatu - proszę sprawdzić dwa razy co wpisałeś;Eroare de format - vă rugăm să verificați de două ori ceea ce ați tastat;Грешка у формату - проверите још једном шта сте откуцали;Chyba formátu - prosím, znovu skontrolujte zadané údaje;Napaka pri oblikovanju - dvakrat preverite, kaj ste vnesli;Formatfel - dubbelkolla vad du skrev.;Помилка формату - перевірте, будь ласка, ще раз, що ви ввели
ImportErrorMessage;Problème lors de l'importation du fichier - merci de vérifier le format;Problem importing file - please check format;Problema al importar el archivo - por favor, compruebe el formato;مشكلة في استيراد الملف - يرجى التحقق من التنسيق;导出文件错误-请检查格式;Проблема с импортом файла - пожалуйста, проверьте формат;Ֆայլի ներմուծման խնդիր. ստուգեք ձևաչափը;Проблем с импортиране на файл- моля проверете формата.;Erro na importação do arquivo - favor verificar o formato;Problém s importem souboru – zkontrolujte prosím formát;Importproblem - bitte überprüfen Sie das Dateiformat;Probleem faili importimisel - palun kontrollige formaati;مشکل در وارد کردن فایل - لطفا فرمت را بررسی کنید;Ongelma tiedoston tuonnissa - tarkista muoto;בעיה בייבוא ​​הקובץ - אנא בדוק פורמט;Problema nell'importare il file - controlla il formato;ファイルのインポートに問題があります - フォーマットを確認してください;파일을 가져오는 중에 문제가 발생했습니다. 형식을 확인하십시오.;Probléma a fájl importálásával - kérjük, ellenőrizze a formátumot;Probleem met het importeren van een bestand - controleer het formaat;Problem z importem pliku - proszę sprawdzić format;Problemă la importul fișierului - vă rugăm să verificați formatul;Проблем при увозу датотеке - проверите формат;Problém s importom súboru - skontrolujte prosím formát;Težava pri uvozu datoteke - preverite format;Problem med att importera filen - kontrollera formatet;Проблема з імпортом файлу - перевірте формат
Run;Exécuter;Run;Ejecutar;يجري;执行;Запустите;Վազիր;Стартирай;Executar;Běh;Ausführen;Käivitage;اجرا کردن;Suorita;רוּץ;Esegui;実行;실행;Futtatás;Voer  uit;Uruchom;Rulați;Трцати;Spustite;Zaženi;Kör;Запустити
FileNotFound;Fichier non trouvé;File not found;Archivo no encontrado;لم يتم العثور على الملف;未找到文件;Файл не найден;Ֆայլը չի ​​գտնվել;Файлът не е намерен;Arquivo não encontrado;Soubor nenalezen;Datei wurde nicht gefunden;Faili ei leitud;فایلی پیدا نشد;Tiedostoa ei löydy;הקובץ לא נמצא;File non trovato;ファイルが見つかりません;파일을 찾을 수 없음;Fájl nem található;Bestand niet gevonden;Nie znaleziono pliku;Fișierul nu a fost găsit;Фајл није пронађен;Súbor nebol nájdený;Datoteka ni bila najdena;Filen har inte hittats;Файл не знайдено
ConfigWriteProblem;Problème d'écriture d'un fichier de configuration;Problem writing a configuration file;Problema al escribir un archivo de configuración;مشكلة في كتابة ملف التكوين;写入配置文件出错;Проблема с записью конфигурационного файла;Կազմաձևման ֆայլ գրելիս խնդիր կա;Проблем при записване на конфигурационен файл;Erro ao escrever um arquivo de configuração;Problém při zápisu konfiguračního souboru;Problem beim Schreiben einer Konfigurationsdatei;Probleem konfiguratsioonifaili kirjutamisel;مشکل در نوشتن فایل پیکربندی;Ongelma konfiguraatiotiedoston kirjoittamisessa;בעיה בכתיבת קובץ תצורה;Problema di scrittura di un file di configurazione;設定ファイルの書き出しができませんでした;구성 파일 작성 문제;Probléma a konfigurációs fájl írásával;Probleem met het schrijven van een configuratiebestand;Problem z zapisem pliku konfiguracyjnego;Problemă la scrierea unui fișier de configurare;Проблем са писањем конфигурационе датотеке;Problém so zápisom konfiguračného súboru;Težava pri pisanju konfiguracijske datoteke;Problem med att skriva en konfigurationsfil;Проблема із записом конфігураційного файлу
RunProblem;Problème d'exécution;Problem running the executable;Problema de ejecución;مشكلة في تشغيل الملف التنفيذي;运行程序出错;Проблема с запуском исполняемого файла;Գործարկվողի գործարկման խնդիր;Проблем при стартиране на изпълнимия файл;Erro com a execução;Problém se spuštěním spustitelného souboru;Problem beim Ausführen;Probleem käivitatava faili käivitamisel;مشکل در اجرای فایل اجرایی;Ongelma suoritettavan tiedoston suorittamisessa;בעיה בהפעלת קובץ ההפעלה;Problema di esecuzione;実行できませんでした;실행 파일 문제;Nem futtatható;Probleem met het uitvoeren van het programma;Problem z uruchomieniem pliku wykonywalnego;Problemă la rularea executabilului;Проблем при покретању извршне датотеке;Nedá sa spustiť;Težava pri zagonu izvršilne datoteke;Problem med att köra den körbara filen;Проблема запуску виконуваного файлу
UnidentifiedProblem;Problème non identifié;Unidentified problem;Problema no identificado;مشكلة مجهولة الهوية;未知问题;Неопознанная проблема;Չբացահայտված խնդիր;Неустановен проблем;Erro não identificado;Neidentifikovaný problém;unbekanntes Problem;Tuvastamata probleem;مشکل ناشناخته;Tunnistamaton ongelma;בעיה לא מזוהה;Problema non identificato;未確認の問題;알 수 없는 문제;Azonosítatlan probléma;Ongeïdentificeerd probleem;Niezidentyfikowany problem;Problemă neidentificată;Неидентификован проблем;Neidentifikovaný problém;Neopredeljena težava;Oidentifierat problem;Невизначена проблема
OpenProblem;Problème lors de l'ouverture du fichier;Problem opening the file;Problema al abrir el archivo;مشكلة في فتح الملف;打开文件出错;Проблема с открытием файла;Ֆայլը բացելու խնդիր;Проблем при отваряне на файла;Erro ao abrir o arquivo;Problém s otevřením souboru;Problem beim Öffnen der Datei;Probleem faili avamisel;مشکل در باز کردن فایل;Ongelma tiedoston avaamisessa;בעיה בפתיחת הקובץ;Problema di apertura del file;ファイルを開く際に発生した問題;파일 열기 문제;Probléma a fájl megnyitásával;Probleem met het openen van het bestand;Problem z otwarciem pliku;Problemă la deschiderea fișierului;Проблем при отварању датотеке;Problém s otvorením súboru;Težava pri odpiranju datoteke;Problem med att öppna filen;Проблема з відкриттям файлу
SaveProblem;Problème lors de la sauvegarde;Saving problem;Problema al guardar;مشكلة الادخار;保存文件错误;Проблема сохранения;Խնդիրը փրկելու համար;Проблем при записване;Erro ao salvar;Problém s ukládáním;Problem beim Speichern;Probleem salvestamisega;مشکل در ذخیره شدن;Tallennusongelma;בעיית בשמירה;Problema durante il salvataggio;保存時の問題;저장 문제;Mentési probléma;Probleem bij het opslaan;Problem z zapisem;Problemă de salvare;Проблем чувања;Problém s ukladaním;Težava pri shranjevanju;Problem med att spara;Проблема зі збереженням
ExeAborted;L'exécutable a planté;Executable aborted;Ejecución abortada;إحباط الملف التنفيذي;运行中止;Выполнение прервано;Գործադիրը ընդհատվել է;Изпълнението е неуспешно;Execução abortada;Spustitelný soubor byl přerušen;Die ausführbare Datei ist abgestürzt;Täitmise katkestamine;قطع شدن اجرای عملیات;Suoritettava tiedosto keskeytyy;פריט ההפעלה הופסק;L'eseguibile si è bloccato;実行ファイルの中断;실행 중단됨;A futtatható program megszakadt;Uitvoerbaar afgebroken;Przerwanie wykonywania;Executabil oprit;Извршни је прекинут;Spustiteľný súbor prerušený;Izvedba prekinjena;Avbrytande av körbar fil;Виконавчий файл перервано
Graph;Graphique;Graph;Gráfico;رسم بياني;结果图像输出 ;График;Գրաֆիկ;Графика;Gráfico;Graf;Grafik;Graafik;نمودار;Kuvaaja;גרָף;Grafico;グラフ;그래프;Grafikon;Grafiek;Wykres;Grafic;Граф;Graf;Graf;Graf;Графік
Active;Actif;Active;Activo;نشيط;开启;Активный;Ակտիվ;Активен;Ativo;Aktivní;Aktiv;Aktiivne;فعال;Aktiivinen;פָּעִיל;Attivo;アクティブ;활성;Aktív;Actief;Aktywny;Activ;Ацтиве;Aktívne;Aktivno;Aktivt;Активний
AllDone;Calcul terminé !;All Done!;¡Cálculo completado!;كله تمام!;全部完成！;Всё готово!;Ամեն ինչ արված է!;Готово!;Cálculo concluído!;Vše hotovo!;Fertig!;Kõik valmis!;اجرا شد!;Kaikki valmista!;הכל בוצע;Calcolo completato!;すべて完了しました。;모두 완료!;Minden kész!;Alles klaar!;Wszystko gotowe!;Calcul finalizat!;Завршено!;Všetko hotovo!;Vse končano!;Allt är klart!;Все готово!
CheckPar;Pensez à vérifier la cohérence des paramètres estimés en utilisant le bouton [Autres graphiques];Please monitor estimated parameters using [More plots] button;Por favor, controle los parámetros estimados con el botón [Más gráficos].;يرجى مراقبة المعلمات المقدرة باستخدام زر [المزيد من المؤامرات];请使用[More plots]按钮检查参数是否正确;Пожалуйста, проследите за оценкой параметров с помощью кнопки [More plots].;Խնդրում ենք վերահսկել գնահատված պարամետրերը՝ օգտագործելով [More plots] կոճակը;Моля, проверете установените параметри използвайки бутона [повече визуализации] ;Por favor, verifique os parâmetros estimados usando o botão [Mais gráficos] ;Prosím sledujte odhadované parametry pomocí tlačítka [Další grafy];Denken Sie daran, die Konsistenz der geschätzten Parameter zu überprüfen, indem Sie die Schaltfläche [Andere Grafiken] verwenden.;Palun jälgige hinnangulisi parameetreid, kasutades nuppu [More plots].;لطفاً پارامترهای تخمینی را با استفاده از دکمه [نقاط بیشتر] بررسی کنید.;Tarkkaile arvioituja parametreja [Lisää piirroksia]-painikkeella.;אנא עקוב אחר פרמטרים משוערים באמצעות כפתור [More plots];Ricordati di controllare la coerenza dei parametri stimati usando il pulsante [Altri grafici].;More plots]ボタンで推定パラメータを確認してください。;[더 많은 플롯] 버튼을 사용하여 추정된 매개변수를 모니터링하십시오.;Kérjük, ellenőrizze a becsült paramétereket a [További ábrák] gomb segítségével.;Controleer de geschatte parameters met de knop [More plots].;Proszę monitorować oszacowane parametry za pomocą przycisku [More plots].;Vă rugăm să monitorizați parametrii estimați utilizând butonul [More plots] (Mai multe grafice);Пратите процењене параметре помоћу дугмета [Више графикона].;Odhadované parametre sledujte pomocou tlačidla [Viac grafov];Ocenjene parametre spremljajte z uporabo gumba [Več grafov].;Kontrollera de uppskattade parametrarna med hjälp av knappen [More plots].;Будь ласка, слідкуйте за розрахунковими параметрами за допомогою кнопки [Інші графіки].
Legend;Légende;Legend;Leyenda;عنوان تفسيري;图例;Легенда;Լեգենդ;Легенда;Legenda;Legenda;Legende;Legend;راهنما;Selite;שם;Legenda;凡例;범례;Jelmagyarázat;Legenda;Legenda;Legendă;Легенда;Legenda;Legenda;Legend;Легенда
ShowLegend;Afficher la légende;Show legend;Mostrar leyenda;عرض الأسطورة;显示图例;Показать легенду;Ցույց տալ լեգենդը;Покажи легенда;Mostrar legenda;Zobrazit legendu;Legende anzeigen;Näita legend;نمایش راهنما;Näytä legenda;הצג שם;Mostra la legenda;凡例表示;범례 표시;Jelmagyarázat megjelenítése;Toon legende;Pokaż legendę;Afișați legenda;Прикажи легенду;Zobraziť legendu;Prikaži legendo;Visa legenden;Показати легенду
Date;Date;Date;Fecha;تاريخ;日期;Дата;Ամսաթիվ;Дата;Data;datum;Datum;Kuupäev;تاریخ;Päivämäärä;תַאֲרִיך;Data;日付;날짜;Dátum;Datum;Data;Data;Датум;Dátum;Datum;Datum;Дата
SelectItem;Sélectionner;Select item;Seleccionar;حدد البند;选择对象;Выберите элемент;Ընտրեք տարրը;Избери обект;Selecionar item;Vybrat předmět;Element auswahlen;Valige objekt;انتخاب آیتم (مورد);Valitse kohde;בחר פריט;Seleziona;項目選択;항목 선택;Elem kiválasztása;Selecteer item;Wybierz element;Selectați elementul;Одаберите ставку;Vyberte položku;Izberite element;Välj objekt;Виберіть елемент
SelectItemToDelete;Sélectionner l'objet à effacer;Select item to delete;Seleccionar el objeto a eliminar;حدد عنصرًا لحذفه;选择删除对象;Выберите элемент для удаления;Ընտրեք տարրը ջնջելու համար;Избери обект за изтриване;Selecionar item para excluir;Vyberte položku, kterou chcete odstranit;Zu löschendes Element auswählen;Valige kustutatav objekt;انتهاب آیتم برای حذف;Valitse poistettava kohde;בחר פריט למחיקה;Seleziona l'oggetto da cancellare;削除する項目を選択;삭제할 항목 선택;Törlendő elem kiválasztása;Selecteer te verwijderen item;Wybierz element do usunięcia;Selectați elementul de șters;Изаберите ставку за брисање;Vyberte položku na odstránenie;Izberite element, ki ga želite izbrisati;Välj objekt som ska raderas;Виберіть елемент для видалення
SelectPlot;Sélectionner le graphique;Select plot;Seleccionar el gráfico;حدد قطعة أرض;选择图像;Выберите график;Ընտրեք հողամաս;Избери диаграма/графика;Selecionar gráfico;Vyberte graf;Grafik auswählen;Valige joonis;انتخاب پلات;Valitse kuvaaja;בחר חלקה;Seleziona il grafico;プロット選択;플롯 선택;Ábrák kiválasztása;Selecteer plot;Wybierz wykres;Selectați un grafic;Изаберите парцелу;Vyberte graf;Izberite ploskev;Välj plot;Вибрати ділянку
Yes;Oui;Yes;Sí;نعم;确认;Да;Այո՛;Да;Sim;Ano;Ja;Jah;بله;Kyllä;כן;Sì;はい;예;Igen;Ja;Tak;Da;да;Áno;Da;Ja;Так
No;Non;No;No;رقم;取消;Нет;Ոչ;Не;Não;Ne;Nein;Ei;خیر;Ei;לא;No;いいえ;아니오;Nem;Nee;Nie;Nu;Не;Nie;Ne;Nej;Ні
Prior;A priori;Prior;A priori;قبل;先验的;Априори;Նախկինում;Предходно;A priori;Předchozí;A priori;Eelmine;پیشین;Edellinen;קוֹדֵם;A priori;事前;이전의;Előző;Prior;Wcześniejszy;Anterior;Пре;Predchádzajúce;Predhodno;Tidigare;Передній
Posterior;A posteriori;Posterior;A posteriori;خلفي;后验的;Апостериори;Հետին;Следващо;A posteriori;Zadní;A posteriori;Posterior;پسین;Seuraava/Jälkimmäinen;שלאחר מעשה;A posteriori;事後;다음의;Következő;Posterior;Późniejszy;Posterior;Постериор;Nasledujúce;Naknadno;Senare;Задній
Iteration;Itération;Iteration;Iteración;تكرار;迭代;Итерация;Կրկնություն;Итерация;Iteração;Opakování;Iteration;Iteratsioon;تکرار;Iteraatio;איטרציה;Iterazione;繰り返し回数;반복;Iteráció;Iteratie;Iteracja;Iterare;Итерација;Opakovanie;Ponovitev;Iteration;Ітерація
Compute;Calculer;Compute;Calcular;إحصاء - عد;计算;Вычислить;Հաշվել;Изчисли;Calcular;Vypočítat;Berechnen;Arvuta;محاسبه کردن;Compute;חַשֵׁב;Calcola;計算;계산;Számolás;Bereken;Oblicz;Calculați;Цомпуте;Výpočet;Izračun;Beräkna;Обчислити
Preferences;Préférences;Preferences;Preferencias;التفضيلات;偏好选项;Предпочтения;Նախապատվություններ;Настройки;Preferências;Předvolby;Einstellungen;Preferences;اولویت ها;Preferenssit;העדפות;Preferenze;環境設定;선호 설정;Preferenciák;Voorkeuren;Właściwości;Preferințe;Преференцес;Vlastnosti;Nastavitve;Preferenser;Налаштування
